"Id","AppId","PackageIdHash","AppActivityId","ActivityType","ActivityStatus","ParentActivityId","Tag","Group","MatchId","LastModifiedTime","ExpirationTime","Payload","Priority","IsLocalOnly","PlatformDeviceId","DdsDeviceId","CreatedInCloud","StartTime","EndTime","LastModifiedOnClient","GroupAppActivityId","ClipboardPayload","EnterpriseId","OriginalPayload","UserActionState","IsRead","OriginalLastModifiedOnClient","GroupItems","LocalExpirationTime","ETag"
"Wyq4wwOODSNYCneJ5TUkDg==","[{""application"":""microsoft.default.default"",""platform"":""data_boundary""},{""application"":"""",""platform"":""packageId""},{""application"":"""",""platform"":""alternateId""}]","ZZzI03ZhPBD1Dfj2GvrCeHMuMjZ9FnVlYIDK+kZzTu0=","default$windows.data.bluelightreduction.settings|windows.data.bluelightreduction.settings","11","1","AAAAAAAAAAAAAAAAAAAAAA==","windows.data.bluelightreduction.settings","default$windows.data.bluelightreduction.settings",,"1644089497","1864841497","UTBJQkFNb1VEaFVBeWg0T0J3REtNZ0RLUEFBQQ==","3","1","KYpZMBgJF+txyq5hrz7pLt1aUWQOSPgFbio/vkJGxmc=",,"0","1644089497","0","1644089497","",,"",,"0","0",,"","0","1"
"nRc8dT1in9aFePvpV8g4xQ==","[{""application"":""Microsoft.Default.Input"",""platform"":""data_boundary""},{""application"":"""",""platform"":""packageId""},{""application"":"""",""platform"":""alternateId""}]","Wvq833opDQ2lQ5RM1kH1zXlbcg1ww7CldmoElcLFyUc=","default$windows.data.input.devices.pensyncedsettings|windows.data.input.devices.pensyncedsettings","11","1","AAAAAAAAAAAAAAAAAAAAAA==","windows.data.input.devices.pensyncedsettings","default$windows.data.input.devices.pensyncedsettings",,"1644089560","1864841560","UTBJQkFBSUJBQT09","3","0","KYpZMBgJF+txyq5hrz7pLt1aUWQOSPgFbio/vkJGxmc=",,"0","1644089560","0","1644089560","",,"",,"0","0",,"","0","2"
"3gtixhgUle3Eb6DdWP5kYA==","[{""application"":""D:\\setup64.exe"",""platform"":""x_exe_path""},{""application"":""D:\\setup64.exe"",""platform"":""packageId""},{""application"":"""",""platform"":""alternateId""}]","qq2qTpHcROwIiM+TwRAKBBJSXrCk7WmgI8tEAffeS38=","ECB32AF3-1440-4086-94E3-5311F97F89C4","5","1","AAAAAAAAAAAAAAAAAAAAAA==",,,,"1644089683","1646681683","eyJkaXNwbGF5VGV4dCI6InNldHVwNjQuZXhlIiwiYWN0aXZhdGlvblVyaSI6Im1zLXNoZWxsYWN0aXZpdHk6IiwiYXBwRGlzcGxheU5hbWUiOiJzZXR1cDY0LmV4ZSIsImJhY2tncm91bmRDb2xvciI6ImJsYWNrIn0=","3","0","KYpZMBgJF+txyq5hrz7pLt1aUWQOSPgFbio/vkJGxmc=",,"0","1644089683","0","1644089683","",,"",,"0","0",,"","0","3"
"ac7uoaRMY1y8mgFlUmi4MA==","[{""application"":""Microsoft.Windows.WindowsInstaller"",""platform"":""x_exe_path""},{""application"":""Microsoft.Windows.WindowsInstaller"",""platform"":""packageId""},{""application"":"""",""platform"":""alternateId""}]","n0YJMINuwj8zV7RvfKk0DN5yueVkc4IN/2qKLXKVCJM=","ECB32AF3-1440-4086-94E3-5311F97F89C4","5","1","AAAAAAAAAAAAAAAAAAAAAA==",,,,"1644089688","1646681688","eyJkaXNwbGF5VGV4dCI6Ik1pY3Jvc29mdC5XaW5kb3dzLldpbmRvd3NJbnN0YWxsZXIiLCJhY3RpdmF0aW9uVXJpIjoibXMtc2hlbGxhY3Rpdml0eToiLCJhcHBEaXNwbGF5TmFtZSI6Ik1pY3Jvc29mdC5XaW5kb3dzLldpbmRvd3NJbnN0YWxsZXIiLCJiYWNrZ3JvdW5kQ29sb3IiOiJibGFjayJ9","3","0","KYpZMBgJF+txyq5hrz7pLt1aUWQOSPgFbio/vkJGxmc=",,"0","1644089688","0","1644089688","",,"",,"0","0",,"","0","4"
"8c5mafPFiCST6F42JWZ1yw==","[{""application"":""D:\\setup64.exe"",""platform"":""x_exe_path""},{""application"":""D:\\setup64.exe"",""platform"":""packageId""},{""application"":"""",""platform"":""alternateId""}]","qq2qTpHcROwIiM+TwRAKBBJSXrCk7WmgI8tEAffeS38=","ECB32AF3-1440-4086-94E3-5311F97F89C4","6","1","AAAAAAAAAAAAAAAAAAAAAA==",,,,"1644089806","1646681806","eyJ0eXBlIjoiVXNlckVuZ2FnZWQiLCJyZXBvcnRpbmdBcHAiOiJTaGVsbEFjdGl2aXR5TW9uaXRvciIsImFjdGl2ZUR1cmF0aW9uU2Vjb25kcyI6MTE3LCJzaGVsbENvbnRlbnREZXNjcmlwdGlvbiI6eyJNZXJnZWRHYXAiOjYwMCwiQWN0aXZpdHlFbmdhZ2VtZW50RmxhZ3MiOjF9LCJ1c2VyVGltZXpvbmUiOiJBbWVyaWNhL05ld19Zb3JrIn0=","3","0","KYpZMBgJF+txyq5hrz7pLt1aUWQOSPgFbio/vkJGxmc=",,"0","1644089689","1644089806","1644089806","",,"",,"0","0",,"","0","5"
"pySV6fflRHlNipoHV+P7Mw==","[{""application"":""D:\\setup64.exe"",""platform"":""x_exe_path""},{""application"":""D:\\setup64.exe"",""platform"":""packageId""},{""application"":"""",""platform"":""alternateId""}]","qq2qTpHcROwIiM+TwRAKBBJSXrCk7WmgI8tEAffeS38=","ECB32AF3-1440-4086-94E3-5311F97F89C4","6","1","AAAAAAAAAAAAAAAAAAAAAA==",,,,"1644089809","1646681809","eyJ0eXBlIjoiVXNlckVuZ2FnZWQiLCJyZXBvcnRpbmdBcHAiOiJTaGVsbEFjdGl2aXR5TW9uaXRvciIsImFjdGl2ZUR1cmF0aW9uU2Vjb25kcyI6Miwic2hlbGxDb250ZW50RGVzY3JpcHRpb24iOnsiTWVyZ2VkR2FwIjo2MDAsIkFjdGl2aXR5RW5nYWdlbWVudEZsYWdzIjozfSwidXNlclRpbWV6b25lIjoiQW1lcmljYS9OZXdfWW9yayJ9","3","0","KYpZMBgJF+txyq5hrz7pLt1aUWQOSPgFbio/vkJGxmc=",,"0","1644089807","1644089809","1644089809","",,"",,"0","0",,"","0","8"
"49uMSljG7Ww3AI+utTVxPg==","[{""application"":""D:\\setup64.exe"",""platform"":""x_exe_path""},{""application"":""D:\\setup64.exe"",""platform"":""packageId""},{""application"":"""",""platform"":""alternateId""}]","qq2qTpHcROwIiM+TwRAKBBJSXrCk7WmgI8tEAffeS38=","ECB32AF3-1440-4086-94E3-5311F97F89C4","6","1","AAAAAAAAAAAAAAAAAAAAAA==",,,,"1644089819","1646681821","eyJ0eXBlIjoiVXNlckVuZ2FnZWQiLCJyZXBvcnRpbmdBcHAiOiJTaGVsbEFjdGl2aXR5TW9uaXRvciIsImFjdGl2ZUR1cmF0aW9uU2Vjb25kcyI6MTIsInNoZWxsQ29udGVudERlc2NyaXB0aW9uIjp7Ik1lcmdlZEdhcCI6NjAwLCJBY3Rpdml0eUVuZ2FnZW1lbnRGbGFncyI6MX0sInVzZXJUaW1lem9uZSI6IkFtZXJpY2EvTmV3X1lvcmsifQ==","3","0","KYpZMBgJF+txyq5hrz7pLt1aUWQOSPgFbio/vkJGxmc=",,"0","1644089809","1644089821","1644089821","",,"",,"0","0",,"","0","14"
"C5+Go7zo/cT7bzBbDEAmKA==","[{""application"":""*PID00000dbc"",""platform"":""x_exe_path""},{""application"":""*PID00000dbc"",""platform"":""packageId""},{""application"":"""",""platform"":""alternateId""}]","/2RtvnRWoEcwHd/2uozicpXD+9ykAxnw24ErSLlbsfQ=","ECB32AF3-1440-4086-94E3-5311F97F89C4","5","1","AAAAAAAAAAAAAAAAAAAAAA==",,,,"1644089829","1646681829","eyJkaXNwbGF5VGV4dCI6IipQSUQwMDAwMGRiYyIsImFjdGl2YXRpb25VcmkiOiJtcy1zaGVsbGFjdGl2aXR5OiIsImFwcERpc3BsYXlOYW1lIjoiKlBJRDAwMDAwZGJjIiwiYmFja2dyb3VuZENvbG9yIjoiYmxhY2sifQ==","3","0","KYpZMBgJF+txyq5hrz7pLt1aUWQOSPgFbio/vkJGxmc=",,"0","1644089829","0","1644089829","",,"",,"0","0",,"","0","17"
"vK19s9uSd54qSh3qbBCnqA==","[{""application"":""*PID00000dbc"",""platform"":""x_exe_path""},{""application"":""*PID00000dbc"",""platform"":""packageId""},{""application"":"""",""platform"":""alternateId""}]","/2RtvnRWoEcwHd/2uozicpXD+9ykAxnw24ErSLlbsfQ=","ECB32AF3-1440-4086-94E3-5311F97F89C4","6","1","AAAAAAAAAAAAAAAAAAAAAA==",,,,"1644089853","1646681853","eyJ0eXBlIjoiVXNlckVuZ2FnZWQiLCJyZXBvcnRpbmdBcHAiOiJTaGVsbEFjdGl2aXR5TW9uaXRvciIsImFjdGl2ZUR1cmF0aW9uU2Vjb25kcyI6MjQsInNoZWxsQ29udGVudERlc2NyaXB0aW9uIjp7Ik1lcmdlZEdhcCI6NjAwLCJBY3Rpdml0eUVuZ2FnZW1lbnRGbGFncyI6M30sInVzZXJUaW1lem9uZSI6IkFtZXJpY2EvTmV3X1lvcmsifQ==","3","0","KYpZMBgJF+txyq5hrz7pLt1aUWQOSPgFbio/vkJGxmc=",,"0","1644089829","1644089853","1644089853","",,"",,"0","0",,"","0","18"
"qAFt12Klj8NRZsHA4N+sUw==","[{""application"":""{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\\WindowsPowerShell\\v1.0\\powershell.exe"",""platform"":""windows_win32""},{""application"":""{D65231B0-B2F1-4857-A4CE-A8E7C6EA7D27}\\WindowsPowerShell\\v1.0\\powershell.exe"",""platform"":""windows_win32""},{""application"":""{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\\WindowsPowerShell\\v1.0\\powershell.exe"",""platform"":""packageId""},{""application"":"""",""platform"":""alternateId""}]","8FtN2QLq/vbNHRV/cyvZHkkLsWIf+oNWAn/N4ZnjaSc=","ECB32AF3-1440-4086-94E3-5311F97F89C4","5","1","AAAAAAAAAAAAAAAAAAAAAA==",,,,"1644089958","1646681958","eyJkaXNwbGF5VGV4dCI6IldpbmRvd3MgUG93ZXJTaGVsbCIsImFjdGl2YXRpb25VcmkiOiJtcy1zaGVsbGFjdGl2aXR5OiIsImFwcERpc3BsYXlOYW1lIjoiV2luZG93cyBQb3dlclNoZWxsIiwiYmFja2dyb3VuZENvbG9yIjoiYmxhY2sifQ==","3","0","KYpZMBgJF+txyq5hrz7pLt1aUWQOSPgFbio/vkJGxmc=",,"0","1644089958","0","1644089958","",,"",,"0","0",,"","0","21"
"E4GhcZA4Hsbj2QxdkNMXCA==","[{""application"":""{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\\WindowsPowerShell\\v1.0\\powershell.exe"",""platform"":""windows_win32""},{""application"":""{D65231B0-B2F1-4857-A4CE-A8E7C6EA7D27}\\WindowsPowerShell\\v1.0\\powershell.exe"",""platform"":""windows_win32""},{""application"":""{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\\WindowsPowerShell\\v1.0\\powershell.exe"",""platform"":""packageId""},{""application"":"""",""platform"":""alternateId""}]","8FtN2QLq/vbNHRV/cyvZHkkLsWIf+oNWAn/N4ZnjaSc=","ECB32AF3-1440-4086-94E3-5311F97F89C4","6","1","AAAAAAAAAAAAAAAAAAAAAA==",,,,"1644089973","1646681973","eyJ0eXBlIjoiVXNlckVuZ2FnZWQiLCJyZXBvcnRpbmdBcHAiOiJTaGVsbEFjdGl2aXR5TW9uaXRvciIsImFjdGl2ZUR1cmF0aW9uU2Vjb25kcyI6MTUsInNoZWxsQ29udGVudERlc2NyaXB0aW9uIjp7Ik1lcmdlZEdhcCI6NjAwLCJBY3Rpdml0eUVuZ2FnZW1lbnRGbGFncyI6MX0sInVzZXJUaW1lem9uZSI6IkFtZXJpY2EvTmV3X1lvcmsifQ==","3","0","KYpZMBgJF+txyq5hrz7pLt1aUWQOSPgFbio/vkJGxmc=",,"0","1644089958","1644089973","1644089973","",,"",,"0","0",,"","0","22"
"3q3CqSmVl1+owKyj0bHJQA==","[{""application"":""C:\\Users\\AndrewRathbun\\Desktop\\kape.exe"",""platform"":""x_exe_path""},{""application"":""C:\\Users\\AndrewRathbun\\Desktop\\kape.exe"",""platform"":""packageId""},{""application"":"""",""platform"":""alternateId""}]","WbpfzxeAVZK3qCL7h8Wbppbk88XXVU1Ts//HDgBC9xk=","ECB32AF3-1440-4086-94E3-5311F97F89C4","5","1","AAAAAAAAAAAAAAAAAAAAAA==",,,,"1644089973","1646681973","eyJkaXNwbGF5VGV4dCI6ImthcGUuZXhlIiwiYWN0aXZhdGlvblVyaSI6Im1zLXNoZWxsYWN0aXZpdHk6IiwiYXBwRGlzcGxheU5hbWUiOiJrYXBlLmV4ZSIsImJhY2tncm91bmRDb2xvciI6ImJsYWNrIn0=","3","0","KYpZMBgJF+txyq5hrz7pLt1aUWQOSPgFbio/vkJGxmc=",,"0","1644089973","0","1644089973","",,"",,"0","0",,"","0","25"
