"Id","AppId","PackageIdHash","AppActivityId","ActivityType","ActivityStatus","ParentActivityId","Tag","Group","MatchId","LastModifiedTime","ExpirationTime","Payload","Priority","IsLocalOnly","PlatformDeviceId","DdsDeviceId","CreatedInCloud","StartTime","EndTime","LastModifiedOnClient","IsInUploadQueue","GroupAppActivityId","ClipboardPayload","EnterpriseId","UserActionState","IsRead","OriginalPayload","OriginalLastModifiedOnClient","GroupItems","ETag"
"CaztCOs03hEgIxP2QXSlRw==","[{""application"":""*PID00000fc4"",""platform"":""x_exe_path""},{""application"":""*PID00000fc4"",""platform"":""packageId""},{""application"":"""",""platform"":""alternateId""}]","qK0IBFbTpnMo5SWC40qGDpXPni0B1c8As1OkRrcuScE=","ECB32AF3-1440-4086-94E3-5311F97F89C4","5","1","AAAAAAAAAAAAAAAAAAAAAA==",,,,"1644087872","1646679872","eyJkaXNwbGF5VGV4dCI6IipQSUQwMDAwMGZjNCIsImFjdGl2YXRpb25VcmkiOiJtcy1zaGVsbGFjdGl2aXR5OiIsImFwcERpc3BsYXlOYW1lIjoiKlBJRDAwMDAwZmM0IiwiYmFja2dyb3VuZENvbG9yIjoiYmxhY2sifQ==","3","1","ekC+QjxNCT5+cmup1coodEkApe7TJ15lXezqWkmATx8=",,"0","1644087872","0","1644087872","0","",,"","0","0",,,"","9"
"FLZsu8il3/CQlhgx1CJN0A==","[{""application"":""C:\\Users\\AndrewRathbun\\Desktop\\kape.exe"",""platform"":""x_exe_path""},{""application"":""C:\\Users\\AndrewRathbun\\Desktop\\kape.exe"",""platform"":""packageId""},{""application"":"""",""platform"":""alternateId""}]","WbpfzxeAVZK3qCL7h8Wbppbk88XXVU1Ts//HDgBC9xk=","ECB32AF3-1440-4086-94E3-5311F97F89C4","6","1","AAAAAAAAAAAAAAAAAAAAAA==",,,,"1644087892","1646679892","eyJ0eXBlIjoiVXNlckVuZ2FnZWQiLCJyZXBvcnRpbmdBcHAiOiJTaGVsbEFjdGl2aXR5TW9uaXRvciIsImFjdGl2ZUR1cmF0aW9uU2Vjb25kcyI6Miwic2hlbGxDb250ZW50RGVzY3JpcHRpb24iOnsiTWVyZ2VkR2FwIjo2MDAsIkFjdGl2aXR5RW5nYWdlbWVudEZsYWdzIjoxfSwidXNlclRpbWV6b25lIjoiQW1lcmljYS9OZXdfWW9yayJ9","3","1","ekC+QjxNCT5+cmup1coodEkApe7TJ15lXezqWkmATx8=",,"0","1644087890","1644087892","1644087892","0","",,"","0","0",,,"","13"
"Fh+nFJ5EOuhUhNFwFdiInQ==","[{""application"":""Microsoft.Windows.Explorer"",""platform"":""windows_win32""},{""application"":""Microsoft.Windows.Explorer"",""platform"":""packageId""},{""application"":"""",""platform"":""alternateId""}]","MRa59sYbwGAAeZAEU7GTDEKxfmoX3dxP0PnmQDGng5o=","ECB32AF3-1440-4086-94E3-5311F97F89C4","5","1","AAAAAAAAAAAAAAAAAAAAAA==",,,,"1644088332","1646680332","eyJkaXNwbGF5VGV4dCI6IkZpbGUgRXhwbG9yZXIiLCJhY3RpdmF0aW9uVXJpIjoibXMtc2hlbGxhY3Rpdml0eToiLCJhcHBEaXNwbGF5TmFtZSI6IkZpbGUgRXhwbG9yZXIiLCJiYWNrZ3JvdW5kQ29sb3IiOiJibGFjayJ9","3","1","ekC+QjxNCT5+cmup1coodEkApe7TJ15lXezqWkmATx8=",,"0","1644088332","0","1644088332","0","",,"","0","0",,,"","17"
"MW3miIf3eGt1DrPkGwBXxA==","[{""application"":""D:\\setup64.exe"",""platform"":""x_exe_path""},{""application"":""D:\\setup64.exe"",""platform"":""packageId""},{""application"":"""",""platform"":""alternateId""}]","qq2qTpHcROwIiM+TwRAKBBJSXrCk7WmgI8tEAffeS38=","ECB32AF3-1440-4086-94E3-5311F97F89C4","6","1","AAAAAAAAAAAAAAAAAAAAAA==",,,,"1644087808","1646679811","eyJ0eXBlIjoiVXNlckVuZ2FnZWQiLCJyZXBvcnRpbmdBcHAiOiJTaGVsbEFjdGl2aXR5TW9uaXRvciIsImFjdGl2ZUR1cmF0aW9uU2Vjb25kcyI6MTUsInNoZWxsQ29udGVudERlc2NyaXB0aW9uIjp7Ik1lcmdlZEdhcCI6NjAwLCJBY3Rpdml0eUVuZ2FnZW1lbnRGbGFncyI6MX0sInVzZXJUaW1lem9uZSI6IkFtZXJpY2EvTmV3X1lvcmsifQ==","3","1","ekC+QjxNCT5+cmup1coodEkApe7TJ15lXezqWkmATx8=",,"0","1644087796","1644087811","1644087811","0","",,"","0","0",,,"","7"
"XCDSdl67QjIaB91IPbRSbg==","[{""application"":""C:\\Users\\AndrewRathbun\\Desktop\\kape.exe"",""platform"":""x_exe_path""},{""application"":""C:\\Users\\AndrewRathbun\\Desktop\\kape.exe"",""platform"":""packageId""},{""application"":"""",""platform"":""alternateId""}]","WbpfzxeAVZK3qCL7h8Wbppbk88XXVU1Ts//HDgBC9xk=","ECB32AF3-1440-4086-94E3-5311F97F89C4","6","1","AAAAAAAAAAAAAAAAAAAAAA==",,,,"1644087894","1646679894","eyJ0eXBlIjoiVXNlckVuZ2FnZWQiLCJyZXBvcnRpbmdBcHAiOiJTaGVsbEFjdGl2aXR5TW9uaXRvciIsImFjdGl2ZUR1cmF0aW9uU2Vjb25kcyI6Miwic2hlbGxDb250ZW50RGVzY3JpcHRpb24iOnsiTWVyZ2VkR2FwIjo2MDAsIkFjdGl2aXR5RW5nYWdlbWVudEZsYWdzIjozfSwidXNlclRpbWV6b25lIjoiQW1lcmljYS9OZXdfWW9yayJ9","3","1","ekC+QjxNCT5+cmup1coodEkApe7TJ15lXezqWkmATx8=",,"0","1644087892","1644087894","1644087894","0","",,"","0","0",,,"","15"
"ZPPeCAGUXjsdRteUpqF9Og==","[{""application"":""microsoft.default.default"",""platform"":""data_boundary""},{""application"":"""",""platform"":""packageId""},{""application"":"""",""platform"":""alternateId""}]","ZZzI03ZhPBD1Dfj2GvrCeHMuMjZ9FnVlYIDK+kZzTu0=","default$windows.data.bluelightreduction.settings|windows.data.bluelightreduction.settings","11","1","AAAAAAAAAAAAAAAAAAAAAA==","windows.data.bluelightreduction.settings","default$windows.data.bluelightreduction.settings",,"1644087614","1864839614","UTBJQkFNb1VEaFVBeWg0T0J3REtNZ0RLUEFBQQ==","3","1","ekC+QjxNCT5+cmup1coodEkApe7TJ15lXezqWkmATx8=",,"0","1644087614","0","1644087614","0","",,"","0","0",,,"","1"
"aeuL3EBiCK83ngxfdWmGnw==","[{""application"":""Microsoft.Default.Input"",""platform"":""data_boundary""},{""application"":"""",""platform"":""packageId""},{""application"":"""",""platform"":""alternateId""}]","Wvq833opDQ2lQ5RM1kH1zXlbcg1ww7CldmoElcLFyUc=","default$windows.data.input.devices.pensyncedsettings|windows.data.input.devices.pensyncedsettings","11","1","AAAAAAAAAAAAAAAAAAAAAA==","windows.data.input.devices.pensyncedsettings","default$windows.data.input.devices.pensyncedsettings",,"1644087707","1864839707","UTBJQkFBSUJBQT09","3","0","ekC+QjxNCT5+cmup1coodEkApe7TJ15lXezqWkmATx8=",,"0","1644087707","0","1644087707","0","",,"","0","0",,,"","2"
"md1F5Ad0Y5nUKJeioiN6Eg==","[{""application"":""Microsoft.Windows.WindowsInstaller"",""platform"":""x_exe_path""},{""application"":""Microsoft.Windows.WindowsInstaller"",""platform"":""packageId""},{""application"":"""",""platform"":""alternateId""}]","n0YJMINuwj8zV7RvfKk0DN5yueVkc4IN/2qKLXKVCJM=","ECB32AF3-1440-4086-94E3-5311F97F89C4","5","1","AAAAAAAAAAAAAAAAAAAAAA==",,,,"1644087794","1646679794","eyJkaXNwbGF5VGV4dCI6Ik1pY3Jvc29mdC5XaW5kb3dzLldpbmRvd3NJbnN0YWxsZXIiLCJhY3RpdmF0aW9uVXJpIjoibXMtc2hlbGxhY3Rpdml0eToiLCJhcHBEaXNwbGF5TmFtZSI6Ik1pY3Jvc29mdC5XaW5kb3dzLldpbmRvd3NJbnN0YWxsZXIiLCJiYWNrZ3JvdW5kQ29sb3IiOiJibGFjayJ9","3","1","ekC+QjxNCT5+cmup1coodEkApe7TJ15lXezqWkmATx8=",,"0","1644087794","0","1644087794","0","",,"","0","0",,,"","4"
"uvB/ox+HBqaPGDLIy9C8FA==","[{""application"":""Microsoft.WindowsTerminal_8wekyb3d8bbwe!App"",""platform"":""windows_universal""},{""application"":""Microsoft.WindowsTerminal_8wekyb3d8bbwe!App"",""platform"":""packageId""},{""application"":"""",""platform"":""alternateId""}]","5RLxD5UUbX7SNhggJWNLXFc6uN9xIjP2d1l3UYDh9JY=","ECB32AF3-1440-4086-94E3-5311F97F89C4","6","1","AAAAAAAAAAAAAAAAAAAAAA==",,,,"1644088399","1646680399","eyJ0eXBlIjoiVXNlckVuZ2FnZWQiLCJyZXBvcnRpbmdBcHAiOiJTaGVsbEFjdGl2aXR5TW9uaXRvciIsImFjdGl2ZUR1cmF0aW9uU2Vjb25kcyI6MzEsInNoZWxsQ29udGVudERlc2NyaXB0aW9uIjp7Ik1lcmdlZEdhcCI6NjAwLCJBY3Rpdml0eUVuZ2FnZW1lbnRGbGFncyI6MX0sInVzZXJUaW1lem9uZSI6IkFtZXJpY2EvTmV3X1lvcmsifQ==","3","1","ekC+QjxNCT5+cmup1coodEkApe7TJ15lXezqWkmATx8=",,"0","1644088368","1644088399","1644088399","0","",,"","0","0",,,"","23"
"xS7xVG7KDT5x2+GOqtb57g==","[{""application"":""D:\\setup64.exe"",""platform"":""x_exe_path""},{""application"":""D:\\setup64.exe"",""platform"":""packageId""},{""application"":"""",""platform"":""alternateId""}]","qq2qTpHcROwIiM+TwRAKBBJSXrCk7WmgI8tEAffeS38=","ECB32AF3-1440-4086-94E3-5311F97F89C4","5","1","AAAAAAAAAAAAAAAAAAAAAA==",,,,"1644087789","1646679789","eyJkaXNwbGF5VGV4dCI6InNldHVwNjQuZXhlIiwiYWN0aXZhdGlvblVyaSI6Im1zLXNoZWxsYWN0aXZpdHk6IiwiYXBwRGlzcGxheU5hbWUiOiJzZXR1cDY0LmV4ZSIsImJhY2tncm91bmRDb2xvciI6ImJsYWNrIn0=","3","1","ekC+QjxNCT5+cmup1coodEkApe7TJ15lXezqWkmATx8=",,"0","1644087789","0","1644087789","0","",,"","0","0",,,"","3"
"0oXpZs6saMpW11elRX/uLQ==","[{""application"":""Microsoft.WindowsTerminal_8wekyb3d8bbwe!App"",""platform"":""windows_universal""},{""application"":""Microsoft.WindowsTerminal_8wekyb3d8bbwe!App"",""platform"":""packageId""},{""application"":"""",""platform"":""alternateId""}]","5RLxD5UUbX7SNhggJWNLXFc6uN9xIjP2d1l3UYDh9JY=","ECB32AF3-1440-4086-94E3-5311F97F89C4","5","1","AAAAAAAAAAAAAAAAAAAAAA==",,,,"1644088368","1646680368","eyJkaXNwbGF5VGV4dCI6IldpbmRvd3MgVGVybWluYWwiLCJhY3RpdmF0aW9uVXJpIjoibXMtc2hlbGxhY3Rpdml0eToiLCJhcHBEaXNwbGF5TmFtZSI6IldpbmRvd3MgVGVybWluYWwiLCJiYWNrZ3JvdW5kQ29sb3IiOiJibGFjayJ9","3","1","ekC+QjxNCT5+cmup1coodEkApe7TJ15lXezqWkmATx8=",,"0","1644088368","0","1644088368","0","",,"","0","0",,,"","22"
"8e815W3OKm4Aot5rfx5aRA==","[{""application"":""Microsoft.Windows.Explorer"",""platform"":""windows_win32""},{""application"":""Microsoft.Windows.Explorer"",""platform"":""packageId""},{""application"":"""",""platform"":""alternateId""}]","MRa59sYbwGAAeZAEU7GTDEKxfmoX3dxP0PnmQDGng5o=","ECB32AF3-1440-4086-94E3-5311F97F89C4","6","1","AAAAAAAAAAAAAAAAAAAAAA==",,,,"1644088342","1646680355","eyJ0eXBlIjoiVXNlckVuZ2FnZWQiLCJyZXBvcnRpbmdBcHAiOiJTaGVsbEFjdGl2aXR5TW9uaXRvciIsImFjdGl2ZUR1cmF0aW9uU2Vjb25kcyI6MTIsInNoZWxsQ29udGVudERlc2NyaXB0aW9uIjp7Ik1lcmdlZEdhcCI6NjAwLCJBY3Rpdml0eUVuZ2FnZW1lbnRGbGFncyI6MX0sInVzZXJUaW1lem9uZSI6IkFtZXJpY2EvTmV3X1lvcmsifQ==","3","1","ekC+QjxNCT5+cmup1coodEkApe7TJ15lXezqWkmATx8=",,"0","1644088332","1644088355","1644088355","0","",,"","0","0",,,"","20"
"846/eaPFORZVUM8jMRwxMg==","[{""application"":""*PID00000fc4"",""platform"":""x_exe_path""},{""application"":""*PID00000fc4"",""platform"":""packageId""},{""application"":"""",""platform"":""alternateId""}]","qK0IBFbTpnMo5SWC40qGDpXPni0B1c8As1OkRrcuScE=","ECB32AF3-1440-4086-94E3-5311F97F89C4","6","1","AAAAAAAAAAAAAAAAAAAAAA==",,,,"1644087875","1646679875","eyJ0eXBlIjoiVXNlckVuZ2FnZWQiLCJyZXBvcnRpbmdBcHAiOiJTaGVsbEFjdGl2aXR5TW9uaXRvciIsImFjdGl2ZUR1cmF0aW9uU2Vjb25kcyI6Mywic2hlbGxDb250ZW50RGVzY3JpcHRpb24iOnsiTWVyZ2VkR2FwIjo2MDAsIkFjdGl2aXR5RW5nYWdlbWVudEZsYWdzIjozfSwidXNlclRpbWV6b25lIjoiQW1lcmljYS9OZXdfWW9yayJ9","3","1","ekC+QjxNCT5+cmup1coodEkApe7TJ15lXezqWkmATx8=",,"0","1644087872","1644087875","1644087875","0","",,"","0","0",,,"","10"
"/uRSh1Sj99gKrbVsFZrugw==","[{""application"":""C:\\Users\\AndrewRathbun\\Desktop\\kape.exe"",""platform"":""x_exe_path""},{""application"":""C:\\Users\\AndrewRathbun\\Desktop\\kape.exe"",""platform"":""packageId""},{""application"":"""",""platform"":""alternateId""}]","WbpfzxeAVZK3qCL7h8Wbppbk88XXVU1Ts//HDgBC9xk=","ECB32AF3-1440-4086-94E3-5311F97F89C4","5","1","AAAAAAAAAAAAAAAAAAAAAA==",,,,"1644087890","1646679890","eyJkaXNwbGF5VGV4dCI6ImthcGUuZXhlIiwiYWN0aXZhdGlvblVyaSI6Im1zLXNoZWxsYWN0aXZpdHk6IiwiYXBwRGlzcGxheU5hbWUiOiJrYXBlLmV4ZSIsImJhY2tncm91bmRDb2xvciI6ImJsYWNrIn0=","3","1","ekC+QjxNCT5+cmup1coodEkApe7TJ15lXezqWkmATx8=",,"0","1644087890","0","1644087890","0","",,"","0","0",,,"","12"
